Formula,Space Group Number,Formation Energy,Volume,Density,Total Magnetization
Mn2O3,2,0.8564593647025851,841.8216039992799,4.982650479128582,99.6298292
Mn3F10,2,-2.547942471830239,407.675948040929,2.89031629112651,21.9994645
Mn4Al11,2,-0.276990866781609,212.7591773531328,4.031553320879202,2.2966128
Mn6Ga29,2,-0.113235278125616,1185.9533631994298,6.585277188526551,0.011979799999999
Mn7F18,2,-2.796270170620689,391.2542183804208,3.083529751191065,31.0069998
Mn8O17,2,-1.6409401951379312,287.6009909735257,4.107996444443779,21.9997902
MnF4,2,-2.275572125419541,176.2101904219205,3.701553224209375,8.9999998
MnO2,2,-0.331520752643678,35.300171118657026,4.089556024082555,2.9999911999999997
MnP4,2,-0.358630176300491,144.4313731945753,4.112116789575252,0.0
MnP4,2,-0.359478627967159,433.09111836081127,4.1140442471047685,1e-07
Mo2N3,2,-0.2892157635,349.24739722281527,4.448425463670412,0.000507899999999
Mo3S4,2,-0.717680714464287,229.105184365826,6.03144007189029,0.0093537
Mo3S4,2,-0.135677140178572,411.90278311442233,3.354758079597623,4.1e-06
Mo3Se4,2,0.136517957678567,319.2100937242809,6.280509499236475,0.1560899
Mo9O26,2,-1.898770973142858,1939.1746860538867,4.382415725663115,0.0499343
MoCl5,2,2.553510613749999,351.1650813193873,2.583785236389574,2.0027272
MoCl5,2,-0.9359074779166672,319.2242505370543,2.842312735082315,2.0
MoO2,2,-1.765616456666666,185.04734387505516,4.592281544497489,7.9999507
MoO4,2,-1.070325381,169.9138080370062,3.126086526886642,3.9998597
MoO4,2,0.174655101,169.9137735814997,3.12608716080167,0.037579299999999
NF2,2,-0.072381579583333,180.03424373585375,1.918609530841954,4.0000001
Na7Sn12,2,-0.187318513684209,2358.122608473176,4.465754192499025,2.4e-06
NaP15,2,-0.096047332790178,719.1923251194828,2.2516161792900222,0.0
NaPu,2,0.469691438390791,331.6761172070215,8.020118168386018,8.4788338
Nb2O5,2,-3.022328621285716,985.2443953137846,4.479979717347137,0.0
Nb2Se9,2,-0.581150554232953,613.4361653551142,4.8532998652913,0.0
Nb7Te6,2,-0.566789320192307,1213.6449456096104,7.749322180525003,0.0029002
NbBr5,2,-1.317579402708333,400.18044207173085,4.086622710401466,0.0
NbBr5,2,1.877266143333333,440.207092639372,3.715038921848042,5.06e-05
NbI5,2,-0.747135397500001,499.9954616659167,4.831739153421856,1e-07
NbI5,2,2.248132180833333,540.5212125356915,4.469477964298995,2.13e-05
NbS3,2,-1.138030066041664,320.7208358810301,3.916305944705787,0.0
Nd10Se19,2,-1.934917153696115,1487.3875119762686,6.570448992446722,0.001129499999999
Nd14Cl33,2,-2.250578581117019,2355.006807477472,4.497667410758433,0.351921999999999
Nd2Sn3,2,-0.6998733460000031,569.8738765458955,7.51328863407611,4e-07
Ni19Se20,2,-0.292032397596157,616.4304282027584,7.258100961043258,1.62e-05
Ni23Te42,2,-0.217186296230777,1464.4872695023623,7.607305930009723,0.0017376
Ni5O11,2,-0.557272176562499,187.6528092485576,4.154253472374567,0.0013391
Ni6Cl7,2,-0.418566099038459,429.7132335638457,4.639716279338455,13.9986357
Ni6O7,2,-1.068910973846152,250.6962229455596,6.148872081506998,19.9999234
